day,month,holiday
1,1,"День, когда стоит подумать о времени и о себе"
2,1,День высоких идеалов
3,1,День фольклора
4,1,День флирта
5,1,День рыночной экономики
6,1,День мечтателя
7,1,Рождество
8,1,День тихой благости
9,1,День авантюриста
10,1,Путанин день
11,1,Хозяйственный день
12,1,День чудака
13,1,День старого нового года
14,1,День свободной печати
15,1,День фигового листа
16,1,День потомства
17,1,День неудачника
18,1,День человека
19,1,День Божьего присутствия
20,1,День анекдота
21,1,День муравья и стрекозы
22,1,День молчания
23,1,День пенсионера
24,1,Коллективный день
25,1,Застольный день
26,1,День чудес
27,1,День прелюбодея
28,1,День Божьей благодати
29,1,День философа
30,1,День культуры и отдыха
31,1,День домашней хозяйки
1,2,День государственных деятелей
2,2,День синего чулка
3,2,День стреляного воробья
4,2,Праздник хорошего настроения
5,2,День эрудита
6,2,День правды
7,2,День примет и суеверий
8,2,Всемирный день похуиста
9,2,День артиста
10,2,День утрат
11,2,День сексуального большинства
12,2,День интиллигента
13,2,День искусства
14,2,День любви
15,2,День охламона
16,2,День надежды
17,2,День космополита
18,2,День просвещения
19,2,День гадкого утенка
20,2,Прощенный день
21,2,День вокала
22,2,День Творения
23,2,День ветерана
24,2,Декнь опасных связей
25,2,День охраны здоровья
26,2,День художника
27,2,День оптимиста
28,2,День пессимиста
29,2,Сизифов день
1,3,День весны
2,3,День свадьбы всех желающих
3,3,День переселения душ
4,3,День заключённого
5,3,День возмездия
6,3,Всероссийский день гурмана
7,3,День разума
8,3,Международный женский день
9,3,Международный день домашних насекомых
10,3,День риска
11,3,День воспоминаний
12,3,Воспитательный день
13,3,День диеты
14,3,День рождения Эйнштейна
15,3,День двоеженца
16,3,День прогресса
17,3,День загадочной славянской души
18,3,День истории
19,3,Международный день торговли
20,3,День согласия с действительностью
21,3,День шута
22,3,День алкоголика
23,3,День романтика
24,3,Международный день борьбы с депрессией
25,3,День эволюции
26,3,Будний день
27,3,День театра
28,3,Всемирный день историка
29,3,День фортуны
30,3,День жертв на алтарь
31,3,День обрядов и традиций
1,4,День смеха
2,4,День гегемона
3,4,Праздник семейной ссоры
4,4,День мудреца
5,4,День набухания почек
6,4,День русской народной сказки
7,4,День анархиста
8,4,День грехов
9,4,День возможного зачатия плода
10,4,День мелкого жулика
11,4,Вселенский родительский день
12,4,День космонавтики
13,4,День хождения ва банк
14,4,День треугольный
15,4,День лысых
16,4,День превращения обезьяны в человека
17,4,День денег
18,4,День туриста
19,4,День права на труд
20,4,День поисков смысла жизни
21,4,День любовных свиданий
22,4,День всех вождей
23,4,День фаталиста
24,4,День ханжи и лицемера
25,4,День гуляки
26,4,Бизнесвумен дэй
27,4,День аскета
28,4,"День радости, что жив"
29,4,День танца
30,4,День Израиля
1,5,Международный праздник весны и труда в России
2,5,День уклониста
3,5,День свободы
4,5,День трезвости
5,5,Всероссийский день низкопоклонства перед Западом
6,5,День рождения Фрейда
7,5,День гавна
8,5,День рогоносца
9,5,День Победы
10,5,Всероссийский день пациента
11,5,Праздник приятных ожиданий
12,5,День игры
13,5,День вечного жида
14,5,День государства
15,5,День семьи
16,5,День охраны родителей от детей
17,5,День обывателя
18,5,День встречи с прекрасным
19,5,День гормона
20,5,День дружбы
21,5,День муз и вдохновения
22,5,День внутреннего эмигранта
23,5,Международный день склероза
24,5,День родной речи
25,5,День кентавра
26,5,Карьерный день
27,5,День гордыни
28,5,День любимой части тела
29,5,День соблазнов
30,5,Международный день феминизма
31,5,День курильщика
1,6,Международный день защиты детей
2,6,День лета
3,6,День курортника
4,6,День извращенца
5,6,День природы
6,6,День поэта
7,6,День циника
8,6,День жизнелюба
9,6,День ботаника
10,6,Легкомысленный день
11,6,День высокой моды
12,6,День времени
13,6,День пива
14,6,День утешения
15,6,День всеобщего равенства
16,6,День младших братьев
17,6,День бутылки
18,6,День всемирной гармонии
19,6,День души
20,6,День оборотной стороны
21,6,День выхода из тупика
22,6,День памяти
23,6,День мифов и легенд
24,6,День изобретателя
25,6,Всероссийский день национальной гордости
26,6,День блаженства
27,6,День молодежи
28,6,День взаимопонимания
29,6,Писакин день
30,6,День верной жены
1,7,День российского бизнесмена
2,7,День русалки
3,7,День мужской слабости
4,7,День бабушки
5,7,День дедушки
6,7,Неслучившийся праздник
7,7,День рождения автора
8,7,День долгов
9,7,День новостей
10,7,День Десяти заповедей
11,7,Народный день
12,7,Полигамный день
13,7,День сукиного сына
14,7,День отваги
15,7,День петуха и кукушки
16,7,День книги
17,7,День учащегося
18,7,День счастливого человека
19,7,Всероссийский праздник добра
20,7,Двуликий день
21,7,День веселой вдовы
22,7,День толстяка и толстушки
23,7,День граненого стакана
24,7,День старческих радостей
25,7,День супружеских измен
26,7,Мистический день
27,7,День хозяев жизни
28,7,Закулисный день
29,7,День чиновника
30,7,Международный день психолога
31,7,День воздержания от осуждения близких
1,8,День друга
2,8,День укрощения строптивых
3,8,День числа три
4,8,День гостя
5,8,День благих помыслов
6,8,День провидения
7,8,"День, когда море по колено"
8,8,День музыканта
9,8,День квасного патриота
10,8,День неизвестного святого
11,8,День второй и третьей молодости
12,8,Мужской день
13,8,День коллекционера
14,8,День самонаблюдения
15,8,День романа
16,8,День прописных истин
17,8,"День, когда богатые тоже плачут"
18,8,День ученого
19,8,День сильных впечатлений
20,8,День воздухоплавания
21,8,День хождения налево
22,8,Ностальгический день
23,8,День таланта
24,8,День пауз и пустот
25,8,День любви к себе
26,8,День бабьего лета
27,8,День кино
28,8,День служителя культа
29,8,День фрейдиста-любителя
30,8,День вруна
31,8,День слухов и сплетен
1,9,День поголовного образования
2,9,День осени
3,9,Праздник бальзаковского возраста
4,9,День любопытных
5,9,День игрока
6,9,День рождения жены автора
7,9,Невезучий день
8,9,Всероссийский день татаро-монгольского ига
9,9,День красоты
10,9,День супруга
11,9,День милостей божьих
12,9,День продолжения рода
13,9,День пословиц и поговорок
14,9,Моральный день
15,9,Аморальный день
16,9,День энтузиаста
17,9,Похотливый день
18,9,День листопада
19,9,День дурака
20,9,День поздней любви
21,9,День атеиста
22,9,День желания бежать
23,9,День отдыха от забот
24,9,День тещи
25,9,День сына
26,9,Болтливый день
27,9,День географа
28,9,День подруги
29,9,День еще одной подруги
30,9,Рюмочный день
1,10,День пожилого человека
2,10,День бомжа
3,10,День музыки
4,10,День сдачи посуды
5,10,День учителя
6,10,День учительницы
7,10,День родных и близких
8,10,День зануды
9,10,День возвращения долгов
10,10,День пожилых страстей
11,10,Праздник азарта
12,10,День Моцарта и Сальери
13,10,День целомудрия
14,10,День разговоров с Богом
15,10,День эгоиста
16,10,День вкусной и здоровой пищи
17,10,Международный день российского еврея
18,10,День сомнения
19,10,День упущенных возможностей
20,10,День зрителя
21,10,День козла
22,10,День зубных врачей
23,10,Праздник неповторимости
24,10,День дружбы народов
25,10,День загадок
26,10,День затворника
27,10,День увядания
28,10,День алиментщика
29,10,Рассчетный день
30,10,День спинного хребта
31,10,День душевной гигиены
1,11,День смены поколений
2,11,День перемен
3,11,День соседа
4,11,Праздник хорошего предчувствия
5,11,Плохой день
6,11,День всемирного еврейского заговора
7,11,День Великой Октябрьской социалистической революции
8,11,Похмельный день
9,11,День хорошей фигуры
10,11,День недреманного ока
11,11,День потакания греху
12,11,День поиска истины
13,11,День сожжения мостов
14,11,День народной медицины
15,11,День пожилых супругов
16,11,День героев
17,11,День мирового рынка
18,11,Гуманистический день
19,11,День огородника
20,11,День обретения веры
21,11,Праздник взаимной вежливости
22,11,День исполнения желаний
23,11,Случайный праздник
24,11,День нечаянной радости
25,11,День разгильдяя
26,11,День почвы и корней
27,11,День расставания
28,11,День графомана
29,11,День любителя острых ощущений
30,11,День читателя
1,12,День обуздания страстей
2,12,День зимы
3,12,День маленького человека
4,12,День авангардного искусства
5,12,День личности
6,12,День лентяя
7,12,Одинокий день
8,12,День фраера
9,12,День белой вороны
10,12,День сновидений
11,12,День близкого родственника
12,12,День закона
13,12,Банный день
14,12,Совестливый день
15,12,День матери-одиночки
16,12,День грёз
17,12,Праздник утренних иллюзий
18,12,Блядский день
19,12,День согласия
20,12,День трезвого взгляда на мир
21,12,День справедливости
22,12,День избирателя
23,12,День чужой жены
24,12,Покаянный день
25,12,День беспечности
26,12,День напрасных сожалений
27,12,День мудрых мыслей
28,12,День пешехода
29,12,Вселенский день нового русского
30,12,День вопросов без ответов
31,12,День благодарения
